代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
6103,合邦,櫃,半導體業,0.22,5.49,29.7,6.17,13,-11.7,32.5,84.5,8.68,1,0.47,36.1,0.69,37.4,2.18
6104,創惟,櫃,半導體業,1.49,112,28.5,14.2,13.3,6.06,19.8,43.1,42,11,2.45,55.5,18.8,5.96,4.56
6109,亞元,櫃,通信網路業,0.77,7.02,35.5,-1.09,-5.49,-4.98,,-4.98,43.2,-1,0,34.9,1.38,15.3,-0.33
6111,大宇資,櫃,文化創意業,0.89,57.4,27.1,5.08,2.46,1.75,105,16.3,52.8,-2,0,36.1,8.16,26,-6.3
6113,亞矽,櫃,電子通路業,1.14,11.7,39.5,5.01,2.37,-1.87,,-14.8,33.1,2,2.25,54.2,0.54,8.66,2.19
6114,久威,櫃,電子零組件業,1.1,14.4,43.2,5.11,4.98,-8.87,44.8,1.23,31.4,1,1.53,55.3,0.84,65.8,13
6118,建達,櫃,電子通路業,1.17,20.1,29.9,2.81,2.81,0.63,34.1,10.1,69.6,-3,0,49.1,2.13,42.6,-4.18
6121,新普,櫃,電腦及週邊設備業,0.95,684,33.4,18.2,16.9,3.33,12.6,0.26,44.3,23,3.08,35.3,35.5,11,54.5
6122,擎邦,櫃,電機機械,0.83,39.8,43.1,19.2,20.8,4.71,11.6,-2.49,56.4,6,6.4,29.9,2.64,14.9,-12.6
6123,上奇,櫃,資訊服務業,0.62,34.5,34.2,20.2,18.7,3.5,17.4,-6.61,53,20,7.28,23.1,2.63,34.1,5.42
6124,業強,櫃,電子零組件業,1.03,49.1,30.7,-2.04,-3.46,-5.39,,16.5,32.3,-26,0,46.1,50.9,41.3,-3.34
6125,廣運,櫃,光電業,1.31,206,49.2,2.86,-0.57,-2.08,,10.8,48.9,12,0.88,42,4.41,14.7,-1.54
6126,信音,櫃,電子零組件業,0.99,33.7,49.1,8.45,6.55,1.08,30.3,4.73,36.9,8,2.87,37.7,1.43,19.2,-3.12
6127,九豪,櫃,電子零組件業,1.15,23.5,33.8,-1.21,-1.72,-2.14,197,3.23,68.9,-1,0,45.9,4.01,3.62,-1.05
6129,普誠,櫃,半導體業,1.15,30.9,39.4,0.9,-1.76,-2.68,,-9.02,18.4,-1,0,46.5,1.78,6.22,-0.56
6130,上亞科技,櫃,生技醫療業,0.74,18.3,31.7,-6.09,-6.84,-3.07,,-21.8,23.4,-1,0,53.7,0.04,34.8,-0.74
6134,萬旭,櫃,電子零組件業,1.39,20.8,38.3,-4.17,-2.49,-1.36,,21.2,44.3,1,0.79,56.8,20.5,26.8,-0.59
6138,茂達,櫃,半導體業,1.15,165,27.9,21.9,19.9,5.37,21.4,21.2,36.5,24,3.88,40.4,15.1,7.22,1.49
6140,訊達,櫃,資訊服務業,0.95,18.3,42.9,6.45,6.38,-10.5,,51.1,71.2,-13,0,63.7,3.51,32,-3.82
6143,振曜,櫃,通信網路業,1.21,127,28.3,16.5,16.9,0.97,27.9,10.3,35.4,20,4.76,46.4,2.86,10.6,19.1
6144,得利影,櫃,文化創意業,1.01,8.23,30.2,-4.72,-5.5,-1.74,,-10.8,11.9,-23,0,75.5,33.5,55.9,-0.09
6146,耕興,櫃,其他電子業,0.76,187,28.4,27.4,25.8,4.63,16.2,-2.24,24.5,25,5.49,27.4,33.7,30.2,14.4
6147,頎邦,櫃,半導體業,0.72,415,28.2,10.9,9.8,0.9,13.8,7.23,14,15,6.73,25.6,21.1,24.1,2.42
6148,驊宏資,櫃,資訊服務業,0.73,21.7,33.7,10.8,11.7,2.37,33.3,32.8,51.9,7,2.96,65.2,4.47,35.7,0.22
6150,撼訊,櫃,電腦及週邊設備業,1.03,38.9,27.9,-8.46,-9.9,2.85,,76.7,62.7,-3,0,40.1,2.53,1.37,9.17
6151,晉倫,櫃,其他電子業,1.12,16.9,43.2,8.72,8.45,2.35,21.4,2.14,43.4,21,4.91,48.5,6.52,15.5,2.82
6154,順發,櫃,電子通路業,0.49,11.4,29.7,4.85,4.23,-0.29,32.3,6.61,39.3,25,4.23,20.8,0.77,42.4,2.52
6156,松上,櫃,電子零組件業,1.06,24.7,37.3,10.1,9.4,-1.16,20.4,35,53.7,10,4.37,47.5,5.79,26.8,2.56
6158,禾昌,櫃,電子零組件業,0.83,13.4,39.7,6.56,6.47,2.93,20.3,-6.64,57.8,10,4.16,28,1.33,27.2,-0.24
6160,欣技,櫃,電腦及週邊設備業,1.01,15.6,36.9,-0.65,-2.18,-1.86,,2.12,38,-2,0,43.8,4.27,10.7,0.45
6161,捷波,櫃,電腦及週邊設備業,1.06,30.8,39.1,14.7,13.9,2.58,21.2,0.04,30.2,12,5.47,37.7,3.51,36.4,1.02
6163,華電網,櫃,通信網路業,1.08,30.7,31.4,4.66,4.48,-3.01,40.8,15.7,54.7,4,2.08,40.3,4.32,20.2,-0.27
6167,久正,櫃,光電業,1.01,20.4,34,8.73,6.28,-0.27,251,24.1,17,4,1.59,43.2,4.57,16.7,-0.15
6169,昱泉,櫃,文化創意業,0.51,4.7,36.4,-4.17,-6.01,-6.91,,40.3,38.8,-13,0,46.9,0.08,26.9,-2.02
6170,統振,櫃,通信網路業,0.82,49.7,48.1,16.3,16.3,4.31,13.6,15.1,62.7,6,6.09,28.9,4.53,31,2.57
6171,大城地產,櫃,建材營造業,0.69,30.1,30.1,19.7,20.7,12.1,3.49,"4,367",47.8,10,8.31,30.2,0.51,43.9,2.06
6173,信昌電,櫃,電子零組件業,1.15,82.7,35.3,7.22,7.19,0.59,23.1,10.9,17.7,11,2.92,35.3,1.82,45.2,5.41
